Day;Animals;Grasses;EmptySquares;AvgEnergy;AvgLifeSpan;AvgChildren;MostPopularGenotype
1;10;15;75;90,00;0,00;0,00;6774316276
2;10;19;71;81,00;0,00;0,00;7700120440
3;10;24;67;71,00;0,00;0,00;7700120440
4;10;27;64;63,00;0,00;0,00;7700120440
5;10;30;62;55,00;0,00;0,00;7700120440
6;10;33;61;47,00;0,00;0,00;7700120440
7;10;36;56;39,00;0,00;0,00;6774316276
8;10;40;52;30,00;0,00;0,00;7700120440
9;10;45;46;20,00;0,00;0,00;6774316276
10;10;45;46;15,00;0,00;0,00;7700120440
11;5;48;47;16,00;10,00;0,00;7700120440
12;3;52;46;16,67;10,29;0,00;7700120440
13;2;56;43;20,00;10,50;0,00;7700120440
14;2;60;39;15,00;10,50;0,00;7700120440
